Prediction,Target,Machine Percentage,Similarity Percent,Occurances,Count
,,,,,
trust,trust,1,1,1,2595
,,,,,
collaborative web search,collaborative web search,1,1,1,2596
,,,,,
recommender systems,user modelling,0.046068236,0.12,1,2597
,,,,,
user modelling,user modelling,1,1,1,2598
,,,,,
provenance,trust,0.001180635,0.02,1,2599
,,,,,
reputation,trust,-0.107584253,0.03,1,2600
,,,,,
trustworthiness,trust,0.431740671,0.32,1,2601
,,,,,
"['trust', 'collaborative web search', 'recommender systems', 'user modelling', 'provenance', 'reputation', 'trustworthiness']","['trust', 'collaborative web search', 'user modelling']",N/A,0.42,1,2602
,,,,,
intelligent learning diagnosis system,learning diagnosis,0.256689817,0.43,1,2603
,,,,,
thematic learning model,theme based learning,0.411390692,0.23,1,2604
,,,,,
knowledge integration,theme based learning,0.237109125,0.42,1,2605
,,,,,
web based learning,web based learning,0.999999583,1,1,2606
,,,,,
"['intelligent learning diagnosis system', 'thematic learning model', 'knowledge integration', 'web based learning']","['learning diagnosis', 'theme based learning', 'web based learning', 'fuzzy expert system', 'k nearest neighbor', 'naive bayesian classifier', 'support vector machines']",N/A,0.43,1,2607
,,,,,
longest common ancestor,longest common extension,0.495241851,0.45,1,2608
,,,,,
range minimum queries,approximate string search,0.148321256,0.23,1,2609
,,,,,
approximate matching,approximate string search,0.518894672,0.34,1,2610
,,,,,
ukkonen's cutoff algorithm,algorithm,0.037033066,0.32,1,2611
,,,,,
lce algorithm,algorithm,0.342996627,0.45,1,2612
,,,,,
lcs algorithm,algorithm,0.364993066,0.45,1,2613
,,,,,
"['longest common ancestor', 'range minimum queries', 'approximate matching', ""ukkonen's cutoff algorithm"", 'lce algorithm', 'lcs algorithm']","['longest common extension', 'approximate string search', 'string', 'algorithm']",N/A,0.23,1,2614
,,,,,
lumbar spine,spinal intervention,0.164685547,0.04,1,2615
,,,,,
segmentation,segmentation,1,1,1,2616
,,,,,
multi vertebrae,multi vertebrae anatomical model,0.5897668,0.45,1,2617
,,,,,
shape plus pose model,statistical shape plus pose model,0.6658355,0.23,1,2618
,,,,,
registration,registration,0.999999762,1,1,2619
,,,,,
statistical model,statistical shape plus pose model,0.474724352,0.12,1,2620
,,,,,
"['lumbar spine', 'segmentation', 'multi vertebrae', 'shape plus pose model', 'registration', 'statistical model']","['segmentation', 'computed tomography', 'registration', 'multi vertebrae anatomical model', 'spinal intervention', 'statistical shape plus pose model']",N/A,0.34,1,2621
,,,,,
relative blocking,blocker,0.104518078,0.34,1,2622
,,,,,
poset,poset,0.999999762,1,1,2623
,,,,,
committee,committee,0.999999762,1,1,2624
,,,,,
boolean lattice,lattice,0.391634643,0.55,1,2625
,,,,,
farey sequence,farey sequence,0.999999762,1,1,2626
,,,,,
boolean function,blocker map,0.034194104,0.23,4,2627
,,,,,
boole,clutter,0.21089457,0.04,1,2628
,,,,,
"['relative blocking', 'poset', 'committee', 'boolean lattice', 'farey sequence', 'boolean function', 'boolean function', 'boolean function', 'boolean function', 'boole']","['poset', 'committee', 'lattice', 'farey sequence', 'antichain', 'blocker', 'blocker map', 'clutter']",N/A,0.23,1,2629
,,,,,
numerical weather prediction,numerical weather prediction,1.000000238,1,1,2630
,,,,,
pseudo uniform grids,mixed finite elements,0.094603792,0.21,1,2631
,,,,,
spurious pressure modes,geophysical fluid dynamics,0.146511599,0.03,1,2632
,,,,,
geostrophic modes,steady geostrophic states,0.496142119,0.12,1,2633
,,,,,
modified rtk q element pairs,mixed finite elements,0.091846697,0.03,1,2634
bdfm1 element pairs,mixed finite elements,0.019051271,0.1,1,2635
,,,,,
p1dg element pairs,mixed finite elements,0.002990887,0.1,1,2636
,,,,,
r,numerical weather prediction,-0.256045967,0.1,1,2637
,,,,,
"['numerical weather prediction', 'pseudo uniform grids', 'spurious pressure modes', 'geostrophic modes', 'modified rtk q element pairs', 'bdfm1 element pairs', 'p1dg element pairs', 'r']","['mixed finite elements', 'numerical weather prediction', 'stability', 'steady geostrophic states', 'geophysical fluid dynamics']",N/A,0.23,1,2638
,,,,,
dc offset,dc offset,1,1,1,2639
,,,,,
bluetooth,qfg transistors,0.092160337,0.23,1,2640
,,,,,
quasi floating gate,qfg transistors,0.011394756,0.31,1,2641
,,,,,
settling time,low power and low voltage circuits,-0.147664353,0.24,1,2642
,,,,,
cmos receiver chain,qfg transistors,0.210742041,0.1,1,2643
,,,,,
"['dc offset', 'bluetooth', 'quasi floating gate', 'settling time', 'cmos receiver chain']","['dc offset', 'direct conversion receivers', 'low power and low voltage circuits', 'qfg transistors']",N/A,0.23,1,2644
,,,,,
extended classifier system,classifier systems,0.558696389,0.54,1,2645
,,,,,
data mining,rule elimination,0.232047394,0.23,1,2646
,,,,,
experience evaluation,reinforcement policy,0.170445874,0.1,1,2647
,,,,,
pattern association,rule elimination,0.258675069,0.23,1,2648
,,,,,
pattern recognition,rule elimination,0.345664799,0.12,1,2649
,,,,,
mobile robot,classifier systems,0.053042788,0.32,1,2650
,,,,,
supervised learning,reinforcement policy,0.005693845,0.32,1,2651
,,,,,
"['extended classifier system', 'data mining', 'experience evaluation', 'pattern association', 'pattern recognition', 'mobile robot', 'supervised learning']","['classifier systems', 'xcs', 'rule experience', 'rule elimination', 'reinforcement policy']",N/A,0.42,1,2652
,,,,,
field dependency,target acquisition,0.058027383,0.12,1,2653
,,,,,
gz acceleration,target acquisition,0.00409901,0.21,7,2654
,,,,,
personal digital assistant,mobile devices,0.164808393,0.32,1,2655
,,,,,
cognitive style,perceptual style,0.353995442,0.12,1,2656
,,,,,
design guidelines,mobile devices,0.088516459,0.03,1,2657
,,,,,
"['field dependency', 'gz acceleration', 'personal digital assistant', 'cognitive style', 'design guidelines', 'gz acceleration', 'gz acceleration', 'gz acceleration', 'gz acceleration', 'gz acceleration', 'gz acceleration']","['extreme environments', 'target acquisition', 'mobile devices', 'perceptual style', 'comparative informatics']",N/A,0.31,1,2658
,,,,,
locality discriminating indexing,document indexing,0.367953897,0.01,1,2659
,,,,,
document classification,document classification,0.999999762,1,1,2660
,,,,,
manifold learning,manifold analysis,0.716419339,0.45,1,2661
,,,,,
"['locality discriminating indexing', 'document classification', 'manifold learning']","['document classification', 'document indexing', 'manifold analysis']",N/A,0.54,1,2662
,,,,,
finger spelling,finger spelling,1,1,1,2663
,,,,,
finger recognition,finger spelling,0.458960056,0.12,1,2664
,,,,,
gestural interaction system,interactive games,0.188980758,0.21,1,2665
,,,,,
handwriting recognition,finger spelling,0.208611146,0.12,1,2666
,,,,,
"['finger spelling', 'finger recognition', 'gestural interaction system', 'handwriting recognition']","['interactive games', 'finger spelling', 'instrumented gloves']",N/A,0.12,1,2667
,,,,,
taguchi method,taguchi method,1,1,1,2668
,,,,,
doe,neural networks,-0.046481024,0.12,1,2669
,,,,,
bpnn,neural networks,-0.109371237,0.03,1,2670
,,,,,
assembly planning,assembly sequence planning,0.691598475,0.42,1,2671
,,,,,
heuristics,neural networks,0.203804463,0.1,1,2672
,,,,,
kbe,taguchi method,-0.053961802,0.03,1,2673
,,,,,
assembly constraints,assembly sequence planning,0.393309146,0.4,2,2674
,,,,,
"['taguchi method', 'doe', 'bpnn', 'assembly planning', 'heuristics', 'kbe', 'assembly constraints', 'assembly constraints']","['assembly sequence planning', 'taguchi method', 'neural networks', 'design of experiment', 'assembly precedence diagrams']",N/A,0.01,1,2675
,,,,,
fuzzy neural network,fuzzy neural network,1,1,1,2676
,,,,,
adaptive learning rate,adaptive learning rates,0.931851268,1,1,2677
,,,,,
slider crank mechanism,slider crank mechanism,1,1,1,2678
,,,,,
permanent magnet synchronous motor,synchronous motor,0.446024835,0.4,1,2679
,,,,,
"['fuzzy neural network', 'adaptive learning rate', 'slider crank mechanism', 'permanent magnet synchronous motor']","['fuzzy neural network', 'adaptive learning rates', 'slider crank mechanism', 'synchronous motor', 'position control']",N/A,0.76,1,2680
,,,,,
ingap gaas,ingap gaas,1,1,1,2681
,,,,,
heterostructure emitter bipolar transistor,heterostructure emitter,0.528650343,0.23,1,2682
,,,,,
superlattice,superlattice base,0.839529276,0.24,1,2683
,,,,,
tunneling behavior,superlattice base,0.014450165,0.42,1,2684
,,,,,
low power consumption,offset voltage,0.064351879,0.12,1,2685
,,,,,
"['ingap gaas', 'heterostructure emitter bipolar transistor', 'superlattice', 'tunneling behavior', 'low power consumption']","['ingap gaas', 'heterostructure emitter', 'superlattice base', 'turn on voltage', 'offset voltage']",N/A,0.13,1,2686
,,,,,
nobel prize,nobel prize,1.000000238,1,1,2687
,,,,,
chemistry,scientific disciplines,0.30698216,0.12,1,2688
,,,,,
physics,scientific disciplines,0.235527873,0.21,1,2689
,,,,,
citation analysis,citation,0.568270326,0.12,10,2690
,,,,,
"['nobel prize', 'chemistry', 'physics', 'citation analysis', 'citation analysis', 'citation analysis', 'citation analysis', 'citation analysis', 'citation analysis', 'citation analysis', 'citation analysis', 'citation analysis', 'citation analysis']","['nobel prize', 'citation', 'centrality', 'scientific disciplines']",N/A,0.31,1,2691
,,,,,
interaction,interaction,0.999999762,1,1,2692
,,,,,
documentation,documentation,1,1,1,2693
,,,,,
systems,systems,1,1,1,2694
,,,,,
users,users,0.999999762,1,1,2695
,,,,,
timing,timing,1,1,1,2696
,,,,,
sharing,sharing,1,1,1,2697
,,,,,
computation,computation,0.999999762,1,1,2698
,,,,,
program,program,1.000000238,1,1,2699
,,,,,
manipulation,manipulation,1,1,1,2700
,,,,,
text,text,1,1,1,2701
,,,,,
graphics,graphics,1,1,1,2702
,,,,,
integrability,integrability,1,1,1,2703
,,,,,
laboratory,laboratory,1,1,1,2704
,,,,,
flexibility,flexibility,1,1,1,2705
,,,,,
online,online,1.000000238,1,1,2706
,,,,,
color,color,1,1,1,2707
,,,,,
use,use,1.000000238,1,1,2708
,,,,,
device,device,1,1,1,2709
,,,,,
libraries,libraries,1,1,1,2710
,,,,,
hardware,hardware,1,1,1,2711
,,,,,
character,character,1.000000238,1,1,2712
,,,,,
language,language,1,1,1,2713
,,,,,
applications,applications,1,1,1,2714
,,,,,
"['interaction', 'documentation', 'systems', 'users', 'timing', 'sharing', 'computation', 'program', 'manipulation', 'text', 'graphics', 'integrability', 'laboratory', 'flexibility', 'online', 'color', 'use', 'device', 'libraries', 'hardware', 'character', 'language', 'applications']","['interaction', 'documentation', 'systems', 'users', 'user', 'timing', 'sharing', 'computation', 'program', 'manipulation', 'text', 'graphics', 'integrability', 'laboratory', 'flexibility', 'online', 'color', 'use', 'device', 'libraries', 'hardware', 'character', 'language', 'applications', 'printing', 'documentation graphics', 'text processing', 'color graphics']",N/A,0.87,1,2715
,,,,,
time varying filtering,time varying filtering,1,1,1,2716
,,,,,
nonstationary signals,sinusoidal timefrequency distribution,0.086104691,0.34,1,2717
,,,,,
low snr environment,multi component separation,-0.015883125,0.1,1,2718
,,,,,
multicomponent signals,multi component separation,0.375293821,0.4,1,2719
,,,,,
robust filtering,time varying filtering,0.254913449,0.03,1,2720
,,,,,
signal separation,multi component separation,0.255151838,0.23,1,2721
,,,,,
"['time varying filtering', 'nonstationary signals', 'low snr environment', 'multicomponent signals', 'robust filtering', 'signal separation']","['time varying filtering', 'multi component separation', 'instantaneous frequency estimation', 'sinusoidal timefrequency distribution']",N/A,0.32,1,2722
,,,,,
quadrupedal locomotion,quadruped,0.434503645,0.03,1,2723
,,,,,
central pattern generator,neural controller,0.218934745,0.01,1,2724
,,,,,
musculoskeletal model,computational simulation,0.17703189,0.02,1,2725
,,,,,
legged robot,neural controller,0.000560801,0.01,1,2726
,,,,,
"['quadrupedal locomotion', 'central pattern generator', 'musculoskeletal model', 'legged robot']","['neural controller', 'quadruped', 'posture', 'rhythmic motion', 'cpg', 'computational simulation']",N/A,0.04,1,2727
,,,,,
superlinear local convergence,superlinear convergence,0.85827148,0.23,1,2728
,,,,,
filter sqp method,sqp,0.278912842,0.32,1,2729
,,,,,
nonlinear programming,nonlinear programming,0.999999762,1,1,2730
,,,,,
global convergence,global convergence,1,1,1,2731
,,,,,
trust region method,nonlinear programming,-0.013076779,0.02,1,2732
,,,,,
"['superlinear local convergence', 'filter sqp method', 'nonlinear programming', 'global convergence', 'trust region method']","['filter', 'sqp', 'nonlinear programming', 'global convergence', 'superlinear convergence']",N/A,0.32,1,2733
,,,,,
multiway,multiway methods,0.618881702,0.5,1,2734
,,,,,
least squares,partial least squares,0.232309937,0.32,1,2735
,,,,,
batch process,multiway methods,0.215933904,0.02,1,2736
,,,,,
multiway regression,multiway methods,0.544595957,0.01,1,2737
,,,,,
recursive least squares,partial least squares,0.637460053,0.43,1,2738
,,,,,
ls optimization,principal covariates regression,-0.027664576,0.31,1,2739
,,,,,
"['multiway', 'least squares', 'batch process', 'multiway regression', 'recursive least squares', 'ls optimization']","['principal covariates regression', 'partial least squares', 'multilinear pls', 'three way methods', 'multiway methods']",N/A,0.05,1,2740
,,,,,
symmetry transform,symmetry transforms,0.847952127,1,1,2741
,,,,,
morphological operator,mathematical morphology,0.269330978,0.04,2,2742
,,,,,
erosion,mathematical morphology,0.005704662,0.02,1,2743
,,,,,
image processing,image classification,0.489223123,0.31,1,2744
,,,,,
"['symmetry transform', 'morphological operator', 'erosion', 'image processing', 'morphological operator']","['symmetry transforms', 'mathematical morphology', 'image classification', 'feature extraction']",N/A,0.04,1,2745
,,,,,
projection method,projection method,1,1,1,2746
,,,,,
gravitational stratification,gravity waves,0.1521319,0.12,1,2747
,,,,,
euler equations,gravity waves,0.072205052,0.03,1,2748
,,,,,
local refinement,embedded boundary method,0.036491562,0.02,1,2749
,,,,,
acoustic waves,gravity waves,0.350704879,0.01,1,2750
,,,,,
embedded boundary method,embedded boundary method,1,0.23,1,2751
,,,,,
orography,projection method,-0.068815947,0.12,1,2752
,,,,,
navier stokes equations,gravity waves,-0.027278315,0.03,1,2753
,,,,,
"['projection method', 'gravitational stratification', 'euler equations', 'local refinement', 'acoustic waves', 'embedded boundary method', 'orography', 'navier stokes equations']","['projection method', 'embedded boundary method', 'gravity waves', 'non hydrostatic atmospheric model']",N/A,0.24,1,2754
,,,,,
cardiac ct,cardiac ct,1,1,1,2755
,,,,,
motion blur,motion model,0.34845525,1,1,2756
,,,,,
motion compensated reconstruction,motion compensated reconstruction,1,1,1,2757
,,,,,
temporal interpolation,motion compensated reconstruction,0.054378286,1,1,2758
,,,,,
cardiac motion,cardiac ct,0.348645717,0.12,1,2759
,,,,,
motion estimation,motion model,0.470795542,0.31,1,2760
,,,,,
"['cardiac ct', 'motion blur', 'motion compensated reconstruction', 'temporal interpolation', 'cardiac motion', 'motion estimation']","['cardiac ct', 'motion compensated reconstruction', 'calcium scoring', 'motion model']",N/A,0.04,1,2761
,,,,,
cost sharing,resource preservation,0.214112073,0.02,1,2762
,,,,,
dynamic model,dynamic models,0.876307666,0.01,1,2763
,,,,,
environmental management,resource preservation,0.438193172,0.02,1,2764
,,,,,
optimisation,resource preservation,0.276172817,0.01,1,2765
,,,,,
"['cost sharing', 'dynamic model', 'environmental management', 'optimisation']","['rainforests', 'resource preservation', 'dynamic models', 'environment', 'international environmental agreements', 'optimal control', 'debt for equity']",N/A,0.03,1,2766
,,,,,
d optimality,d optimality,0.999999762,0.02,1,2767
,,,,,
experimental design,optimal experimental design,0.350118041,0.04,1,2768
,,,,,
sparse kernel density estimation,sparse kernel modelling,0.744379044,0.23,1,2769
,,,,,
orthogonal forward regression,orthogonal forward regression,1,1,1,2770
,,,,,
multiplicative nonnegative quadratic programming,sparse kernel modelling,0.111277923,0.02,1,2771
,,,,,
unsupervised construction,sparse kernel modelling,0.05068478,0.03,1,2772
,,,,,
"['d optimality', 'experimental design', 'sparse kernel density estimation', 'orthogonal forward regression', 'multiplicative nonnegative quadratic programming', 'unsupervised construction']","['d optimality', 'optimal experimental design', 'orthogonal forward regression', 'sparse kernel modelling', 'probability density function', 'parzen window estimate']",N/A,0.01,1,2773
,,,,,
nodule registration,nodule template matching,0.545357823,0.02,1,2774
,,,,,
rib matching,rib matching,1,0.03,1,2775
,,,,,
template matching,nodule template matching,0.450859129,0.12,1,2776
,,,,,
pulmonary imaging,pulmonary nodule registration,0.520361125,0.21,1,2777
,,,,,
ct image,geometrical constraint using log polar image,0.07421311,0.31,1,2778
,,,,,
"['nodule registration', 'rib matching', 'template matching', 'pulmonary imaging', 'ct image']","['pulmonary nodule registration', 'rib matching', 'nodule template matching', 'computed tomography', 'follow up ct study', 'geometrical constraint using log polar image']",N/A,0.12,1,2779
,,,,,
robotics,robotics,0.999999762,1,1,2780
,,,,,
special needs,special needs education,0.619311571,1,1,2781
,,,,,
education,educational technology,0.341264814,0.43,1,2782
,,,,,
lego nxt,robotics,-0.108788207,0.3,1,2783
,,,,,
topobo,social robot,0.031441413,0.2,1,2784
,,,,,
social robot,social robot,0.999999762,1,1,2785
,,,,,
early childhood education,special needs education,0.260419041,0.34,1,2786
,,,,,
learning disabilities,special needs education,0.17187123,0.54,1,2787
,,,,,
"['robotics', 'special needs', 'education', 'lego nxt', 'topobo', 'social robot', 'early childhood education', 'learning disabilities']","['robotics', 'special needs education', 'social robot', 'educational technology', 'programmable construction kit']",N/A,0.12,1,2788
,,,,,
fisher's filter,fisher 's anova ranking,0.351426631,0.1,1,2789
,,,,,
kdd connections,kdd feature reduction,0.479837298,0.21,1,2790
,,,,,
neural networks,neural networks,1,1,1,2791
,,,,,
intrusion detection systems,intrusion detection systems,1,1,1,2792
,,,,,
feature selection,kdd feature reduction,0.144674331,0.12,1,2793
,,,,,
"[""fisher's filter"", 'kdd connections', 'neural networks', 'intrusion detection systems', 'feature selection']","['neural networks', 'intrusion detection systems', 'misuse detection', ""fisher 's anova ranking"", 'knowledge discovery and data mining dataset', 'kdd feature reduction']",N/A,0.32,1,2794
,,,,,
divisor,srt division,-0.170875728,0.45,1,2795
,,,,,
partial remainder,digit recurrence division,-0.021342963,0.12,1,2796
,,,,,
high radix division,high radix division,1,1,1,2797
,,,,,
digit recurrence divider,digit recurrence division,0.692406893,1,1,2798
,,,,,
redundant divider,digit recurrence division,0.029136401,0.12,1,2799
,,,,,
digit selection,digit recurrence division,0.423957407,0.32,1,2800
,,,,,
"['divisor', 'partial remainder', 'high radix division', 'digit recurrence divider', 'redundant divider', 'digit selection']","['high radix division', 'quotient digit selection', 'digit recurrence division', 'digit selector pla', 'p d plot', 'srt division']",N/A,0.12,1,2801
,,,,,
wrist posture,wrist,0.555649936,0.5,1,2802
,,,,,
image analysis,parallax,0.09646748,0.4,4,2803
,,,,,
"['wrist posture', 'image analysis', 'image analysis', 'image analysis', 'image analysis']","['viewing angle', 'wrist', 'posture', 'parallax']",N/A,0.65,1,2804
,,,,,
beam column,beam column,1,1,1,2805
,,,,,
lateraltorsional buckling,lateraltorsional buckling,1,1,1,2806
,,,,,
eurocode <digit>,eurocode <digit>,1,1,1,2807
,,,,,
firefighting,fire,0.425518095,0.5,1,2808
,,,,,
"['beam column', 'lateraltorsional buckling', 'eurocode <digit>', 'firefighting']","['steel', 'beam column', 'fire', 'lateraltorsional buckling', 'eurocode <digit>', 'numerical modelling']",N/A,0.85,1,2809
,,,,,
fuzzy less strongly semiopen set,fuzzy strongly semiopen set,0.821352303,0.76,1,2810
,,,,,
fuzzy less strong semicontinuity,fuzzy strongly semiopen set,0.303917706,0.65,1,2811
,,,,,
fuzzy semicontinuity,fuzzy topology,0.397548795,0.23,2,2812
,,,,,
"['fuzzy less strongly semiopen set', 'fuzzy less strong semicontinuity', 'fuzzy semicontinuity', 'fuzzy semicontinuity']","['fuzzy topology', 'fuzzy strongly semiopen set']",N/A,0.12,1,2813
,,,,,
differential fault analysis,differential fault analysis,1,0.12,1,2814
,,,,,
camellia,camellia,0.999999762,0.14,1,2815
,,,,,
block cipher,block ciphers,0.444179744,1,1,2816
,,,,,
faulty key,differential fault analysis,0.092569426,1,1,2817
,,,,,
"['differential fault analysis', 'camellia', 'block cipher', 'faulty key']","['differential fault analysis', 'camellia', 'block ciphers', 'side channel attacks']",N/A,0.2,1,2818
,,,,,
unigraph,unigraphs,0.611762106,0.1,1,2819
,,,,,
graph,frequency assignment,0.068595856,0.12,1,2820
,,,,,
degree sequence,frequency assignment,0.163311303,0.43,1,2821
,,,,,
algorithm,unigraphs,0.105072193,0.12,1,2822
,,,,,
l labeling,<digit> ) labeling l ( <digit>,0.062455632,0.5,1,2823
,,,,,
"['unigraph', 'graph', 'degree sequence', 'algorithm', 'l labeling']","['l ( <digit>', '<digit> )', 'unigraphs', '<digit> ) l ( <digit>', '<digit> ) labeling l ( <digit>', '<digit> ) l ( <digit>', '<digit> ) l ( <digit>', '<digit> ) l ( <digit>', '<digit> ) l ( <digit>', 'frequency assignment']",N/A,0.23,1,2824
,,,,,
ground control station,mission plan,0.156041369,0.23,1,2825
,,,,,
mission planning,mission plan,0.712723017,0.95,1,2826
,,,,,
unmanned aerial system,mission plan,-0.03090208,0.08,1,2827
,,,,,
route creation,route creation validation algorithms,0.528337896,0.72,1,2828
,,,,,
route verification,route creation validation algorithms,0.459756732,0.78,1,2829
,,,,,
autonomous replanning,mission plan,-0.001630602,0.19,1,2830
,,,,,
"['ground control station', 'mission planning', 'unmanned aerial system', 'route creation', 'route verification', 'autonomous replanning']","['mission plan', 'route creation validation algorithms', 'stanag <digit>']",N/A,0.12,1,2831
,,,,,
automatic differentiation,design,0.091976173,0.12,1,2832
,,,,,
frechet derivatives,linearization of boundary value problems,-0.014992702,0.14,1,2833
,,,,,
chebop,chebfun,0.621036947,0.65,1,2834
,,,,,
nonlinear bvps,linearization of boundary value problems,0.23598589,0.23,1,2835
,,,,,
chebfun chebfun,chebfun,0.369148105,0.86,1,2836
,,,,,
chebop chebop,chebfun,0.146558568,0.61,1,2837
,,,,,
cheb,chebfun,0.703769565,0.62,1,2838
,,,,,
"['automatic differentiation', 'frechet derivatives', 'chebop', 'nonlinear bvps', 'chebfun chebfun', 'chebop chebop', 'cheb']","['chebfun', ""newton 's method in function space"", 'algorithms', 'design', 'performance', 'linearization of boundary value problems', 'object oriented matlab']",N/A,0.24,1,2839
,,,,,
asynchronous parallel,asynchronous parallel finite automaton,0.38803947,0.61,1,2840
,,,,,
deep packet inspection,deep packet inspection,1,1,1,2841
,,,,,
cloud computing,cloud computing,1,1,1,2842
,,,,,
security,cloud computing,0.110160887,0.19,1,2843
,,,,,
heuristic forecast,deep packet inspection,-0.034905042,0.17,1,2844
,,,,,
"['asynchronous parallel', 'deep packet inspection', 'cloud computing', 'security', 'heuristic forecast']","['asynchronous parallel finite automaton', 'deep packet inspection', 'cloud computing', 'lock free fifo']",N/A,0.23,1,2845
,,,,,
predatorprey system,periodic solution,-0.128090069,0.02,1,2846
,,,,,
infinite delay,time delay,0.259927124,0.07,1,2847
,,,,,
diffusion,dispersion,0.45437777,0.75,1,2848
,,,,,
coincidence degree,dispersion,-0.058924925,0.01,1,2849
,,,,,
global asymptotical stability,globally asymptotically stable,0.692993164,0.84,1,2850
,,,,,
"['predatorprey system', 'infinite delay', 'diffusion', 'coincidence degree', 'global asymptotical stability']","['dispersion', 'time delay', 'periodic solution', 'persistent', 'globally asymptotically stable']",N/A,0.21,1,2851
,,,,,
body sensor networks,body sensor networks,1,1,1,2852
,,,,,
authentication,security,0.086697288,0.04,1,2853
,,,,,
key management,key update,0.392007202,0.6,1,2854
,,,,,
biometrics,body sensor networks,0.185560495,0.45,1,2855
,,,,,
eavesdropping attack,key update,0.02695201,0.19,1,2856
,,,,,
"['body sensor networks', 'authentication', 'key management', 'biometrics', 'eavesdropping attack']","['security', 'network admission and transmission', 'body sensor networks', 'efficiency', 'key update']",N/A,0.43,1,2857
,,,,,
time domain,time domain,1,1,1,2858
,,,,,
orthogonal,electromagnetic simulation,-0.100207619,0.14,1,2859
,,,,,
finite element,finite element methods,0.55300492,0.77,1,2860
,,,,,
electromagnetics,electromagnetic simulation,0.480423689,0.61,1,2861
,,,,,
integrated circuit,electromagnetic simulation,0.159033611,0.02,1,2862
,,,,,
package,package,1,1,1,2863
,,,,,
prism,finite element methods,-0.070678875,0.02,1,2864
,,,,,
fem,finite element methods,-0.021340461,0.03,1,2865
,,,,,
"['time domain', 'orthogonal', 'finite element', 'electromagnetics', 'integrated circuit', 'package', 'prism', 'fem']","['time domain', 'large scale', 'package', 'on chip', 'die package cosimulation', 'electromagnetic simulation', 'finite element methods']",N/A,0.32,1,2866
,,,,,
social network sites,networks,0.336261451,0.43,1,2867
,,,,,
jealousy,relationship,0.018392408,0.01,1,2868
,,,,,
relationship happiness,relationship,0.519074678,0.64,1,2869
,,,,,
self esteem,relationship,0.079172589,0.02,1,2870
,,,,,
grooming,networks,0.075547688,0.02,1,2871
,,,,,
"['social network sites', 'jealousy', 'relationship happiness', 'self esteem', 'grooming']","['networks', 'relationship', 'interpersonal', 'psychological factors']",N/A,0.43,1,2872
,,,,,
nonlinear dimensionality reduction,nonlinear dimensionality reduction,1,1,1,2873
,,,,,
pairwise distance,distance based data projection method,0.060566235,0.04,1,2874
,,,,,
sphere,optimization on manifolds,-0.182738766,0.04,1,2875
,,,,,
manifold learning,optimization on manifolds,0.039762765,0.2,1,2876
,,,,,
trustworthiness and continuity trade off,trade off between trustworthiness and continuity,0.649719894,0.09,1,2877
,,,,,
"['nonlinear dimensionality reduction', 'pairwise distance', 'sphere', 'manifold learning', 'trustworthiness and continuity trade off']","['trade off between trustworthiness and continuity', 'nonlinear dimensionality reduction', 'distance based data projection method', 'optimization on manifolds']",N/A,0.21,1,2878
,,,,,
quantum computation,quantum computation,1,1,1,2879
,,,,,
action selection,action selection,1,1,1,2880
,,,,,
reinforcement learning,reinforcement learning,1,1,1,2881
,,,,,
quantum superposition,quantum computation,0.643919885,0.08,1,2882
,,,,,
"['quantum computation', 'action selection', 'reinforcement learning', 'quantum superposition']","['quantum computation', 'action selection', 'reinforcement learning', 'grover iteration']",N/A,0.12,1,2883
,,,,,
principal agent theory,principal agent theory,1,1,1,2884
,,,,,
outsourcing,outsourcing,1,1,1,2885
,,,,,
contract,principal agent theory,-0.089131184,0.03,1,2886
,,,,,
software engineering,principal agent theory,0.075466149,0.03,1,2887
,,,,,
software process,principal agent theory,0.013570396,0.04,1,2888
,,,,,
"['principal agent theory', 'outsourcing', 'contract', 'software engineering', 'software process']","['principal agent theory', 'outsourcing']",N/A,0.97,1,2889
,,,,,
saccule,vestibular evoked potentials,0.018519333,0.03,1,2890
,,,,,
fmri,fmri,1,1,1,2891
,,,,,
vep,fmri,0.095934667,0.01,1,2892
,,,,,
vestibular nerve stimulation,vestibular evoked potentials,0.278412521,0.05,1,2893
,,,,,
thalamus,human,0.000614452,0.01,1,2894
,,,,,
canal,prefrontal,-0.018199876,0.01,1,2895
,,,,,
otolith,human,-0.008857804,0.01,4,2896
,,,,,
o,fmri,-0.147711486,0.01,1,2897
,,,,,
"['saccule', 'fmri', 'vep', 'vestibular nerve stimulation', 'thalamus', 'canal', 'otolith', 'otolith', 'otolith', 'otolith', 'o']","['human', 'fmri', 'vestibular evoked potentials', 'prefrontal']",N/A,0.21,1,2898
,,,,,
density function,density function approximation,0.640559614,0.8,1,2899
,,,,,
non markovian model,markov renewal theory,0.263949096,0.48,1,2900
,,,,,
stochastic time petri net,stochastic time petri nets,0.890206218,0.91,1,2901
,,,,,
difference bounds matrix,difference bounds matrix,0.999999762,1,1,2902
,,,,,
imprecise analysis,quantitative evaluation,0.23420091,0.38,1,2903
,,,,,
bernstein polynomial,bernstein polynomials,0.749045193,0.9,2,2904
,,,,,
bern,bernstein polynomials,0.081646599,0.07,1,2905
,,,,,
